x0,x1,y,x2,x3,x4,x5,x6,x7
,A0,117,30.0,0,,91,311,
A3,A0,86,2.0,41,3.18,1,111,428.85714285714283
A1,A0,250,1.0,97,4.48,2,39,431.14285714285717
A0,A0,450,1.0,0,,1,0,
A0,A1,71,2.0,182,1.81,1,200,431.42857142857144
A0,A0,150,20.0,0,,1,33,
A1,A0,175,3.0,29,0.85,1,282,423.0
A2,A0,188,2.0,15,1.97,1,59,430.0
A1,A0,200,3.0,0,,1,0,
A1,A0,229,3.0,159,3.54,3,231,428.85714285714283
A1,A1,65,1.0,20,6.59,2,23,428.7142857142857
A0,A1,65,4.0,10,0.6,1,2,407.14285714285717
A1,A1,150,2.0,0,,1,0,
A0,A0,180,3.0,29,1.79,2,235,412.2857142857143
A0,,225,3.0,2,0.03,1,221,235.85714285714286
A1,A1,65,4.0,6,0.16,1,0,353.42857142857144
A0,A0,350,20.0,0,,1,33,
A0,A0,300,1.0,8,,1,192,429.7142857142857
A3,A1,65,1.0,23,2.18,5,365,429.57142857142856
A1,A0,115,2.0,59,1.02,5,337,427.7142857142857
A0,A0,145,7.0,9,,1,80,426.85714285714283
A0,A0,142,30.0,3,0.32,91,213,429.14285714285717
A1,A0,70,1.0,1,,1,0,240.0
A1,A0,300,3.0,4,,2,0,429.85714285714283
A0,A0,145,7.0,6,0.1,1,0,288.42857142857144
A1,A0,109,31.0,114,1.38,2,110,428.0
A2,A0,59,1.0,27,0.7,2,62,425.2857142857143
A1,A0,125,3.0,22,,2,0,415.0
A3,A1,55,1.0,231,,2,16,429.7142857142857
A1,A0,110,2.0,0,,1,107,
A0,A0,270,4.0,44,0.92,1,335,431.14285714285717
A1,A0,400,3.0,2,0.17,1,83,395.0
A2,A0,130,4.0,56,1.55,1,0,428.7142857142857
A1,A1,50,30.0,2,0.52,17,333,425.7142857142857
A0,A1,55,1.0,7,0.19,1,0,274.14285714285717
A0,A0,350,4.0,0,,1,0,
A2,A0,80,1.0,106,8.69,2,300,430.7142857142857
A1,A1,69,1.0,142,2.12,3,329,429.0
A0,A0,380,30.0,5,0.11,15,332,316.14285714285717
A1,A1,65,1.0,8,0.34,1,0,366.2857142857143
A2,A0,70,30.0,10,0.41,1,3,386.14285714285717
A0,A1,54,25.0,4,,1,0,274.57142857142856
A1,A0,180,5.0,2,0.07,1,0,326.7142857142857
A2,A0,64,3.0,7,0.69,1,333,429.7142857142857
A0,A2,65,1.0,2,,2,170,430.85714285714283
A2,A1,65,2.0,13,1.49,2,77,431.14285714285717
A2,A0,85,1.0,68,2.13,1,0,351.85714285714283
A1,,80,1.0,16,0.51,1,0,364.85714285714283
A0,A0,294,3.0,5,4.41,1,64,431.42857142857144
A2,A0,75,5.0,85,1.9,1,332,425.7142857142857
A0,A0,300,10.0,0,,1,33,
A0,A2,36,1.0,20,0.47,3,324,429.85714285714283
A0,A1,71,15.0,0,,4,185,
A1,A0,249,3.0,12,0.27,1,26,431.0
A0,A0,200,1.0,3,0.15,1,0,347.57142857142856
A1,A0,130,3.0,22,0.99,1,134,429.42857142857144
A0,A0,110,3.0,4,,1,0,399.7142857142857
A1,A1,80,2.0,6,0.53,1,0,414.2857142857143
A1,A1,399,1.0,1,0.1,4,249,388.0
A1,A1,129,1.0,9,0.46,17,338,431.7142857142857
A0,A1,68,2.0,0,,1,0,
A1,A1,76,1.0,25,0.58,3,141,431.0
A0,A1,100,1.0,0,,13,341,
A1,A0,800,1.0,34,0.45,1,365,431.0
A0,A1,100,3.0,9,0.32,2,0,341.85714285714283
A0,A1,70,30.0,4,,3,340,429.0
A1,A1,60,1.0,64,8.97,1,142,431.42857142857144
A0,A1,100,1.0,0,,6,290,
A1,A1,146,2.0,8,0.11,4,88,414.7142857142857
A0,A0,375,3.0,18,,1,0,131.14285714285714
A0,A0,1000,1.0,0,,1,0,
A1,A1,63,2.0,0,,5,358,
A1,A1,90,2.0,142,2.22,2,306,428.85714285714283
A2,A1,135,1.0,0,,18,309,
A0,A1,115,1.0,0,,1,0,
A0,A1,120,1.0,12,0.19,2,206,286.42857142857144
A0,A0,510,7.0,0,,3,207,
A2,A0,60,2.0,34,1.89,2,117,428.57142857142856
A0,A1,150,3.0,10,0.16,1,42,426.0
A0,A0,234,2.0,2,1.46,327,332,427.14285714285717
A0,,75,1.0,9,2.33,5,363,424.2857142857143
A0,A0,125,1.0,0,,1,0,
A1,A1,65,2.0,40,2.65,10,343,427.14285714285717
A0,A0,105,2.0,15,1.67,1,160,429.14285714285717
A3,A1,33,2.0,103,2.27,2,282,426.57142857142856
A1,A0,131,4.0,68,1.06,1,5,428.85714285714283
A3,A1,23,2.0,18,1.25,1,36,431.14285714285717
A1,A0,150,3.0,26,0.95,1,0,426.0
A1,A0,130,3.0,6,0.3,1,106,416.2857142857143
A2,A1,96,2.0,244,,1,270,430.14285714285717
A0,A1,46,1.0,0,,1,0,
A2,A0,65,2.0,13,1.54,1,73,431.7142857142857
A1,A0,195,3.0,78,1.13,1,312,423.85714285714283
A0,A0,350,1.0,7,0.15,1,0,300.85714285714283
A0,A1,70,7.0,8,0.73,47,310,406.14285714285717
A0,A0,200,3.0,37,2.85,1,2,427.7142857142857
A2,A0,185,2.0,55,6.45,1,99,431.2857142857143
A1,A0,180,4.0,0,,1,12,
A1,A1,32,3.0,0,,1,48,
A1,A0,135,4.0,54,1.17,1,158,429.7142857142857
A0,A1,150,1.0,11,,2,177,428.2857142857143
A0,A0,130,4.0,2,0.75,1,63,420.85714285714283
A1,A1,55,7.0,34,,1,259,427.0
A0,A0,115,2.0,8,0.18,1,0,259.85714285714283
A0,A1,80,1.0,29,4.26,4,18,431.42857142857144
A2,A1,55,1.0,0,,1,179,
A1,A0,85,5.0,1,0.04,1,0,327.0
A1,A0,139,1.0,23,2.97,9,238,428.85714285714283
A0,A1,45,30.0,4,,9,311,359.2857142857143
A0,A0,150,5.0,0,,1,0,
A0,A1,80,3.0,3,0.05,2,178,340.14285714285717
A0,A0,109,30.0,8,0.28,91,159,404.85714285714283
A0,A1,45,30.0,6,0.25,6,164,429.85714285714283
A0,A1,150,2.0,15,1.25,1,57,425.14285714285717
A1,A0,97,2.0,19,3.0,2,340,430.42857142857144
A2,A1,42,30.0,0,,23,220,
A0,A1,95,3.0,0,,9,29,
A1,A0,105,1.0,24,1.01,1,0,352.85714285714283
A1,A1,75,15.0,0,,14,0,
A1,A1,110,2.0,204,6.19,1,41,431.57142857142856
A0,A0,85,30.0,4,0.22,1,0,388.14285714285717
A1,A1,59,2.0,28,3.19,4,178,427.0
A0,A1,219,1.0,0,,20,365,
A1,A1,54,2.0,50,2.26,4,302,427.2857142857143
A0,A1,300,1.0,1,0.04,1,0,335.42857142857144
A1,A0,110,1.0,20,2.22,1,19,429.85714285714283
A0,A0,280,3.0,92,4.13,1,69,430.42857142857144
A0,A1,118,1.0,2,0.08,3,0,331.85714285714283
A0,A1,80,1.0,10,,2,97,423.14285714285717
A0,A1,77,1.0,4,0.36,2,0,412.0
A1,A1,125,10.0,0,,1,0,
A0,A0,159,6.0,6,0.31,2,12,423.85714285714283
A0,A0,50,1.0,1,0.02,1,0,259.2857142857143
A0,A1,80,21.0,0,,1,0,
A1,A0,350,3.0,3,2.0,1,22,430.57142857142856
A0,A1,200,2.0,0,,1,0,
A4,A1,100,1.0,1,,2,365,430.0
A0,A0,125,25.0,43,0.42,1,102,429.0
,A1,77,7.0,1,0.07,1,0,369.85714285714283
A1,A0,250,1.0,1,0.03,1,0,265.85714285714283
A0,A0,210,30.0,1,0.08,50,365,380.7142857142857
A0,A1,102,2.0,29,0.76,1,178,332.57142857142856
A0,A0,180,4.0,24,0.56,2,3,425.57142857142856
A0,A0,139,1.0,0,,1,354,
A1,A0,83,30.0,1,0.81,3,349,427.0
A0,A0,500,5.0,1,0.7,1,362,426.0
A0,A1,75,3.0,48,,4,9,429.2857142857143
A2,A0,350,1.0,9,3.42,1,358,427.85714285714283
A1,A0,75,2.0,20,0.9,1,0,411.57142857142856
A1,,90,2.0,16,1.0,2,20,398.0
A1,A0,150,2.0,11,0.14,1,364,394.0
A0,A0,50,1.0,1,0.03,1,0,307.85714285714283
A0,A1,89,5.0,2,0.32,1,0,406.2857142857143
A4,A0,149,2.0,3,0.34,5,354,428.85714285714283
A1,A0,159,14.0,0,,1,345,
,A1,75,1.0,0,,1,0,
A1,A1,60,2.0,159,,1,153,431.7142857142857
A0,A0,188,3.0,6,0.44,1,364,421.0
A0,A0,198,3.0,5,0.22,1,0,416.2857142857143
A0,A1,100,2.0,14,0.3,2,342,426.0
A2,A0,125,5.0,0,,1,0,
A1,A1,42,5.0,0,,1,0,
A0,A2,75,4.0,10,1.15,2,329,428.57142857142856
A0,A1,100,21.0,0,,1,332,
A2,A0,170,4.0,10,2.07,1,97,428.7142857142857
A0,A0,50,3.0,2,0.09,1,0,341.14285714285717
A1,A1,48,1.0,2,0.36,5,0,421.0
A2,A1,55,1.0,296,10.6,2,322,431.0
A2,A1,80,3.0,0,,1,364,
A1,A1,43,1.0,127,2.77,2,220,430.42857142857144
A1,A0,150,2.0,10,0.54,2,0,405.0
A0,A0,190,2.0,185,2.3,5,0,430.0
A1,A1,98,1.0,26,1.4,1,73,399.85714285714283
A0,A0,225,30.0,0,,12,343,
A1,A0,95,4.0,132,1.27,1,46,431.85714285714283
A2,A0,125,3.0,14,,1,42,428.42857142857144
A0,A1,60,2.0,12,0.26,1,0,327.0
A0,A1,119,1.0,52,2.5,3,159,429.85714285714283
A1,A0,250,3.0,31,,1,101,429.7142857142857
A1,A0,185,3.0,9,0.41,1,0,393.14285714285717
A0,A0,108,4.0,3,0.07,1,0,283.0
A0,A1,70,1.0,3,0.08,1,0,273.85714285714283
A1,A0,95,4.0,0,,1,156,
A1,A0,120,4.0,0,,1,0,
,A1,130,3.0,12,1.08,3,90,431.14285714285717
A0,A2,69,2.0,9,1.44,1,62,431.0
A1,A0,120,1.0,4,0.17,1,0,335.0
A0,A0,175,3.0,4,0.38,1,0,421.85714285714283
A0,A1,60,1.0,128,6.03,1,67,431.57142857142856
A0,A1,100,1.0,0,,8,321,
A0,A0,200,2.0,2,1.4,1,0,429.0
A2,A0,195,1.0,3,0.12,1,0,326.0
A1,,125,2.0,172,,2,155,429.85714285714283
A1,A1,85,1.0,177,7.05,3,49,430.0
A0,A1,100,3.0,64,0.87,2,355,423.0
A1,A1,60,150.0,2,0.32,2,0,406.85714285714283
A0,A0,199,2.0,18,2.56,1,171,431.0
A1,A1,50,1.0,12,,1,0,380.57142857142856
A0,A0,180,30.0,0,,1,329,
A0,A0,75,4.0,0,,1,0,
A1,A0,200,3.0,29,,2,144,427.85714285714283
A0,A1,75,1.0,2,0.11,1,0,353.14285714285717
A2,A1,48,1.0,47,1.27,2,71,429.7142857142857
A0,A1,85,3.0,0,,3,244,
A0,A0,190,1.0,25,,1,158,399.85714285714283
A0,A1,78,4.0,5,,1,0,336.42857142857144
A0,A1,109,3.0,7,0.53,2,0,401.7142857142857
A0,A1,75,5.0,46,0.6,1,343,422.85714285714283
A0,A0,179,1.0,125,6.51,1,201,430.2857142857143
A0,A0,99,30.0,2,,16,201,430.57142857142856
A0,A0,465,4.0,1,,1,0,341.0
A1,A1,100,4.0,12,0.42,1,0,363.42857142857144
A1,A0,100,5.0,11,0.44,1,298,428.57142857142856
A0,A0,280,2.0,40,,1,119,430.42857142857144
A1,A1,70,2.0,12,,3,349,431.85714285714283
A0,A0,269,28.0,81,0.93,1,122,431.2857142857143
A0,A1,63,3.0,2,,1,0,348.42857142857144
A0,A0,185,5.0,4,0.08,1,0,391.7142857142857
A0,A0,135,25.0,1,0.15,1,0,403.57142857142856
A1,A0,149,20.0,0,,1,0,
A0,A1,125,1.0,16,1.26,1,80,429.85714285714283
A0,A1,89,1.0,44,5.59,2,4,431.0
,A1,65,4.0,1,0.02,1,0,248.71428571428572
A1,A0,414,16.0,5,0.12,5,365,384.7142857142857
A1,A0,97,1.0,27,5.66,2,62,430.85714285714283
A0,A1,150,3.0,0,,2,0,
A0,A1,50,5.0,4,1.11,7,237,426.0
A1,A0,145,1.0,0,,1,66,
A0,A0,150,4.0,3,0.32,1,179,400.2857142857143
A1,A0,425,14.0,4,0.09,3,205,396.42857142857144
A1,A0,200,1.0,2,2.0,1,229,429.85714285714283
A1,A1,125,3.0,1,0.02,1,0,239.14285714285714
A1,A0,90,7.0,8,0.35,2,301,423.57142857142856
A1,A0,99,3.0,2,0.11,3,311,353.0
A0,A1,130,4.0,37,4.16,1,38,429.14285714285717
A0,A0,150,2.0,0,,1,40,
A0,A0,199,3.0,25,0.42,1,0,300.7142857142857
A0,A2,66,1.0,1,,1,70,431.57142857142856
A0,A1,89,1.0,3,0.1,3,0,333.7142857142857
A0,A1,99,4.0,6,,6,140,394.85714285714283
A0,A1,165,1.0,3,0.35,1,0,404.7142857142857
A0,A0,130,1.0,6,2.25,3,0,428.7142857142857
A2,A1,69,1.0,6,3.1,3,179,430.0
A0,A1,100,3.0,1,0.09,1,0,384.85714285714283
A1,A1,90,4.0,3,,3,0,380.42857142857144
A1,A0,250,5.0,3,0.06,1,0,326.7142857142857
A0,A1,55,4.0,2,0.16,1,0,385.57142857142856
A1,A0,150,4.0,6,0.1,2,0,423.42857142857144
A0,A1,70,1.0,8,0.22,1,0,279.0
A0,A0,285,4.0,2,0.04,1,0,288.85714285714283
A1,A1,150,1.0,0,,1,90,
A0,A1,103,3.0,38,4.58,1,99,431.57142857142856
A1,A1,70,3.0,67,1.53,2,40,392.85714285714283
A1,A0,180,2.0,1,0.05,1,0,342.85714285714283
A2,A1,49,30.0,0,,103,251,
A2,A0,95,6.0,2,0.1,1,0,349.7142857142857
A1,A1,120,1.0,2,0.07,1,0,320.14285714285717
A0,A0,175,3.0,0,,1,0,
A0,A0,115,30.0,6,0.17,31,331,427.2857142857143
A0,A0,200,3.0,14,0.61,1,10,412.85714285714283
A1,A0,188,3.0,38,,1,261,430.85714285714283
A2,A2,45,5.0,16,0.77,5,88,427.14285714285717
A0,A1,110,3.0,1,0.04,1,0,321.42857142857144
A1,,110,5.0,0,,1,303,
A0,A1,275,1.0,0,,1,0,
A1,A0,100,8.0,0,,1,0,
A0,A0,200,2.0,56,0.98,1,226,430.57142857142856
A0,A0,125,4.0,37,1.05,1,0,428.7142857142857
A0,A0,250,28.0,13,0.52,1,0,405.14285714285717
,,40,2.0,21,2.08,5,343,428.14285714285717
A0,A1,99,2.0,22,,1,365,324.85714285714283
A4,A1,80,1.0,29,3.49,1,80,431.0
A0,A0,270,3.0,70,2.06,3,255,428.85714285714283
A2,A0,299,2.0,9,1.6,1,354,429.42857142857144
A0,A0,174,2.0,142,3.31,1,198,430.14285714285717
A0,A1,37,30.0,1,1.0,6,76,431.0
A0,A1,85,1.0,3,0.03,1,0,188.42857142857142
A1,A0,115,1.0,0,,1,0,
A0,A0,212,29.0,0,,327,349,
A1,A0,115,2.0,121,1.7,1,39,426.57142857142856
A1,A0,160,1.0,488,8.14,1,269,431.0
,A1,88,1.0,58,3.55,4,50,429.85714285714283
A0,A1,800,5.0,0,,1,0,
A1,A1,65,5.0,67,5.01,2,124,431.0
A3,A0,105,1.0,23,1.02,3,6,431.57142857142856
A1,A1,60,5.0,0,,1,0,
A1,A1,45,3.0,4,0.13,1,0,330.85714285714283
A0,A0,750,1.0,1,,5,364,431.85714285714283
A0,A0,243,2.0,14,,1,93,425.85714285714283
A0,A1,95,5.0,1,0.02,1,0,230.0
A0,A1,95,2.0,35,2.58,1,180,428.57142857142856
A1,A1,175,2.0,3,3.0,1,358,431.85714285714283
A1,A0,185,1.0,20,1.89,1,44,427.85714285714283
A1,A0,95,2.0,77,1.61,2,83,429.14285714285717
A0,A0,278,30.0,0,,232,304,
A1,A1,89,6.0,8,1.98,3,260,428.7142857142857
A0,A0,400,4.0,42,2.13,1,306,429.7142857142857
A1,A1,45,2.0,0,,1,0,
A0,A1,60,5.0,1,0.02,1,0,248.28571428571428
A0,A1,80,6.0,3,,1,0,341.85714285714283
,A1,299,1.0,3,0.08,6,345,300.7142857142857
A2,A1,46,3.0,137,3.21,1,286,431.57142857142856
A1,A1,65,6.0,1,1.0,1,19,429.7142857142857
A0,A1,125,28.0,1,0.09,1,0,382.85714285714283
A1,A1,95,3.0,10,0.17,2,0,240.0
A1,A1,68,5.0,8,0.1,1,281,388.57142857142856
A2,A0,80,28.0,1,,1,365,389.7142857142857
A0,A0,160,1.0,15,5.23,1,9,430.85714285714283
A0,A1,89,4.0,3,,1,0,235.14285714285714
